valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,code_postal,type_local,total_surface_lots
369262.0,39.0,2.0,75020.0,Appartement,35.12
313000.0,27.0,2.0,75017.0,Appartement,27.44
460500.0,36.0,1.0,75008.0,Appartement,41.31
298000.0,33.0,2.0,75019.0,Appartement,27.76
280000.0,36.0,2.0,75018.0,Appartement,36.01
290754.0,64.0,3.0,75018.0,Appartement,64.52
520000.0,44.0,3.0,75003.0,Appartement,48.14
455000.0,35.0,3.0,75017.0,Appartement,39.7
135700.0,16.0,1.0,75018.0,Appartement,15.4
1123600.0,110.0,4.0,75001.0,Appartement,0.0
428800.0,42.0,2.0,75017.0,Appartement,46.71
532400.0,35.0,2.0,75008.0,Appartement,29.34
380000.0,33.0,2.0,75018.0,Appartement,0.0
860000.0,82.0,4.0,75009.0,Appartement,166.34
817000.0,140.0,6.0,75004.0,Appartement,65.53
282000.0,27.0,1.0,75009.0,Appartement,28.68
500000.0,51.0,3.0,75019.0,Appartement,51.65
280000.0,55.0,3.0,75017.0,Appartement,9.4
273600.0,30.0,2.0,75020.0,Appartement,28.28
581000.0,63.0,3.0,75019.0,Appartement,61.81
599900.0,60.0,1.0,75020.0,Appartement,47.0
530000.0,40.0,2.0,75009.0,Appartement,47.91
153600.0,10.0,1.0,75010.0,Appartement,13.8
153600.0,9.0,1.0,75010.0,Appartement,0.0
215000.0,23.0,2.0,75009.0,Appartement,17.72
937000.0,55.0,3.0,75008.0,Appartement,51.2
975400.0,77.0,4.0,75009.0,Appartement,74.42
305000.0,41.0,2.0,75018.0,Appartement,39.83
655000.0,73.0,3.0,75020.0,Appartement,73.09
1000000.0,129.0,0.0,75003.0,Local industriel. commercial ou assimilé,129.54
321000.0,27.0,1.0,75017.0,Appartement,28.75
410000.0,30.0,2.0,75018.0,Appartement,35.8
326000.0,25.0,2.0,75017.0,Appartement,25.7
385000.0,33.0,2.0,75003.0,Appartement,33.27
307750.0,38.0,2.0,75018.0,Appartement,36.71
429000.0,40.0,1.0,75003.0,Appartement,36.83
409600.0,35.0,2.0,75009.0,Appartement,32.22
240000.0,40.0,2.0,75018.0,Appartement,25.91
574150.0,52.0,3.0,75010.0,Appartement,52.28
150000.0,12.0,1.0,75018.0,Appartement,16.15
361000.0,28.0,2.0,75010.0,Appartement,33.5
281400.0,24.0,1.0,75019.0,Appartement,24.6
193000.0,22.0,1.0,75017.0,Appartement,22.63
1030000.0,103.0,4.0,75018.0,Appartement,104.68
480000.0,53.0,3.0,75020.0,Appartement,53.8
210000.0,21.0,1.0,75018.0,Appartement,21.4
360500.0,37.0,2.0,75017.0,Appartement,27.92
403000.0,43.0,3.0,75017.0,Appartement,45.68
423050.0,35.0,1.0,75009.0,Appartement,36.45
462500.0,57.0,4.0,75020.0,Appartement,56.4
710000.0,57.0,3.0,75009.0,Appartement,0.0
975000.0,31.0,0.0,75002.0,Local industriel. commercial ou assimilé,38.8
274800.0,26.0,2.0,75017.0,Appartement,26.6
595500.0,36.0,2.0,75018.0,Appartement,49.19
400950.0,42.0,2.0,75009.0,Appartement,41.55
180000.0,19.0,1.0,75020.0,Appartement,19.17
843700.0,86.0,4.0,75017.0,Appartement,85.58
665000.0,59.0,3.0,75017.0,Appartement,56.7
626800.0,62.0,3.0,75019.0,Appartement,62.3
436600.0,24.0,1.0,75004.0,Appartement,32.87
404500.0,33.0,2.0,75004.0,Appartement,34.67
136000.0,10.0,1.0,75003.0,Appartement,8.15
763500.0,60.0,2.0,75017.0,Appartement,58.51
317000.0,29.0,2.0,75009.0,Appartement,28.44
505550.0,55.0,2.0,75010.0,Appartement,51.55
739550.0,56.0,3.0,75009.0,Appartement,55.05
340000.0,33.0,2.0,75010.0,Appartement,86.22
237000.0,25.0,2.0,75019.0,Appartement,24.36
460000.0,35.0,2.0,75009.0,Appartement,34.6
323000.0,24.0,1.0,75001.0,Appartement,27.17
163000.0,18.0,1.0,75017.0,Appartement,13.33
275000.0,28.0,1.0,75017.0,Appartement,25.8
305000.0,53.0,2.0,75020.0,Appartement,53.62
237410.0,23.0,1.0,75017.0,Appartement,22.19
185700.0,21.0,1.0,75009.0,Appartement,17.81
390000.0,35.0,2.0,75003.0,Appartement,28.61
421000.0,44.0,2.0,75018.0,Appartement,43.19
600000.0,45.0,2.0,75002.0,Appartement,42.74
298395.72,32.0,2.0,75019.0,Appartement,31.46
184915.0,27.0,2.0,75019.0,Appartement,15.89
102000.0,10.0,1.0,75020.0,Appartement,8.03
130000.0,9.0,1.0,75003.0,Appartement,8.57
315000.0,28.0,2.0,75017.0,Appartement,28.57
520000.0,49.0,3.0,75010.0,Appartement,51.24
324205.0,28.0,2.0,75018.0,Appartement,30.69
340410.0,25.0,1.0,75003.0,Appartement,26.71
220000.0,24.0,1.0,75018.0,Appartement,24.68
279000.0,32.0,1.0,75018.0,Appartement,32.19
300000.0,9.0,1.0,75018.0,Appartement,33.06
300000.0,10.0,1.0,75018.0,Appartement,0.0
300000.0,13.0,1.0,75018.0,Appartement,0.0
389662.0,30.0,2.0,75017.0,Appartement,0.0
350000.0,20.0,1.0,75009.0,Appartement,41.3
447000.0,37.0,2.0,75019.0,Appartement,42.14
381450.0,34.0,1.0,75020.0,Appartement,35.04
975000.0,106.0,0.0,75009.0,Local industriel. commercial ou assimilé,0.0
245000.0,16.0,1.0,75008.0,Appartement,19.14
890000.0,67.0,3.0,75009.0,Appartement,0.0
341610.0,42.0,2.0,75018.0,Appartement,36.0
115000.0,34.0,1.0,75008.0,Appartement,33.5
109500.0,12.0,1.0,75017.0,Appartement,9.68
210000.0,24.0,2.0,75017.0,Appartement,22.39
668836.0,53.0,3.0,75017.0,Appartement,53.9
165000.0,25.0,2.0,75008.0,Appartement,12.27
255000.0,29.0,1.0,75020.0,Appartement,22.29
570000.0,61.0,2.0,75010.0,Appartement,60.83
771000.0,92.0,4.0,75018.0,Appartement,92.29
567000.0,54.0,3.0,75020.0,Appartement,56.51
692171.0,65.0,3.0,75020.0,Appartement,65.05
185000.0,17.0,1.0,75020.0,Appartement,19.93
355000.0,35.0,2.0,75019.0,Appartement,0.0
220000.0,23.0,1.0,75008.0,Appartement,23.15
220000.0,16.0,1.0,75008.0,Appartement,0.0
575000.0,57.0,3.0,75001.0,Appartement,0.0
685000.0,65.0,2.0,75018.0,Appartement,61.41
125000.0,10.0,1.0,75017.0,Appartement,9.21
335000.0,36.0,2.0,75020.0,Appartement,35.46
325000.0,52.0,3.0,75009.0,Appartement,57.8
491000.0,48.0,2.0,75018.0,Appartement,43.88
485000.0,50.0,2.0,75017.0,Appartement,51.51
1049636.0,77.0,4.0,75017.0,Appartement,73.01
600000.0,83.0,3.0,75004.0,Appartement,76.46
550000.0,60.0,3.0,75018.0,Appartement,65.01
367950.0,35.0,2.0,75020.0,Appartement,34.47
558370.0,51.0,2.0,75020.0,Appartement,51.32
571550.0,62.0,3.0,75018.0,Appartement,49.16
244000.0,15.0,0.0,75010.0,Appartement,36.07
244000.0,23.0,2.0,75010.0,Appartement,36.07
812132.0,59.0,2.0,75009.0,Appartement,59.5
250000.0,32.0,1.0,75008.0,Appartement,0.0
375000.0,40.0,0.0,75017.0,Local industriel. commercial ou assimilé,36.88
393000.0,44.0,2.0,75019.0,Appartement,43.24
285000.0,26.0,2.0,75004.0,Appartement,19.92
200000.0,15.0,1.0,75010.0,Appartement,19.54
200000.0,8.0,0.0,75010.0,Appartement,0.0
262000.0,26.0,1.0,75017.0,Appartement,25.55
467600.0,40.0,2.0,75018.0,Appartement,38.68
205000.0,25.0,1.0,75018.0,Appartement,21.8
458180.0,33.0,2.0,75004.0,Appartement,0.0
217100.0,18.0,1.0,75017.0,Appartement,18.91
315000.0,26.0,1.0,75017.0,Appartement,25.79
790500.0,65.0,4.0,75017.0,Appartement,65.42
472500.0,36.0,1.0,75017.0,Appartement,34.86
720000.0,58.0,4.0,75017.0,Appartement,65.12
335000.0,27.0,2.0,75017.0,Appartement,29.89
400000.0,43.0,2.0,75010.0,Appartement,42.44
330000.0,30.0,1.0,75018.0,Appartement,30.86
707000.0,60.0,2.0,75010.0,Appartement,64.03
643000.0,61.0,3.0,75019.0,Appartement,59.8
427950.0,39.0,2.0,75017.0,Appartement,39.4
294500.0,29.0,1.0,75019.0,Appartement,29.7
355200.0,30.0,2.0,75020.0,Appartement,29.97
536000.0,48.0,2.0,75017.0,Appartement,0.0
205000.0,25.0,2.0,75018.0,Appartement,27.19
490000.0,38.0,2.0,75001.0,Appartement,30.95
675000.0,70.0,3.0,75017.0,Appartement,0.0
308000.0,24.0,1.0,75008.0,Appartement,23.49
155100.0,15.0,1.0,75020.0,Appartement,15.47
300000.0,34.0,1.0,75018.0,Appartement,35.06
324230.0,31.0,2.0,75018.0,Appartement,32.32
367800.0,43.0,2.0,75019.0,Appartement,42.6
613500.0,47.0,3.0,75017.0,Appartement,48.54
710000.0,71.0,3.0,75020.0,Appartement,71.7
864550.0,70.0,4.0,75009.0,Appartement,72.1
305000.0,31.0,2.0,75020.0,Appartement,31.94
565000.0,64.0,5.0,75019.0,Appartement,63.86
427350.0,35.0,1.0,75004.0,Appartement,29.15
280000.0,30.0,2.0,75018.0,Appartement,30.01
620000.0,48.0,2.0,75003.0,Appartement,46.3
325000.0,37.0,1.0,75019.0,Appartement,38.22
544300.0,46.0,2.0,75017.0,Appartement,47.81
866390.0,27.0,2.0,75020.0,Appartement,38.75
866390.0,27.0,2.0,75020.0,Appartement,38.08
727000.0,68.0,3.0,75010.0,Appartement,66.41
193000.0,28.0,2.0,75019.0,Appartement,0.0
